,index,baths
0,2 baths,52471
1,3 baths,35508
2,4 baths,14764
3,bathrooms: 2,9538
4,bathrooms: 3,6613
5,5 baths,5370
6,2.5 baths,4486
7,bathrooms: 1,3234
8,2 ba,2686
9,6 baths,2604
10,bathrooms: 4,2384
11,3 ba,1893
12,3.5 baths,1821
13,7 baths,1210
14,bathrooms: 5,823
15,~,782
16,1 ba,756
17,4 ba,735
18,8 baths,638
19,-- baths,509
20,4.5 baths,381
21,bathrooms: 6,352
22,9 baths,319
23,5 ba,249
24,2.5+,246
25,1.5 baths,238
26,3.5+,210
27,sq. ft.,202
28,10 baths,189
29,4.5+,156
30,bathrooms: 7,147
31,5.5+,123
32,6 ba,103
33,11 baths,102
34,1.75 baths,92
35,bathrooms: 8,90
36,5.5 baths,84
37,12 baths,83
38,6.5+,63
39,0 / 0,63
40,7 ba,56
41,1.5+,55
42,2.1 baths,53
43,2.5 ba,47
44,13 baths,46
45,8 ba,38
46,2.75 baths,35
47,bathrooms: 9,35
48,16 baths,32
49,7.5+,31
50,14 baths,27
51,bathrooms: 10,26
52,6.5 baths,22
53,"7,500+",19
54,3.5 ba,17
55,1.1 baths,17
56,18 baths,17
57,15 baths,17
58,2.25 baths,16
59,8.5+,14
60,9 ba,13
61,bathrooms: 11,12
62,20 baths,12
63,3.1 baths,12
64,3.25 baths,11
65,10.5+,10
66,12 ba,9
67,3.75 baths,8
68,24 baths,8
69,1.25 baths,8
70,bathrooms: 12,7
71,4.5 ba,7
72,—,6
73,17 baths,6
74,22 baths,6
75,26 baths,6
76,8.5 baths,5
77,bathrooms: 13,5
78,23 baths,4
79,1.5 ba,4
80,10 ba,4
81,4.1 baths,3
82,bathrooms: 24,3
83,30 baths,3
84,36 baths,3
85,2.2 baths,2
86,28 baths,2
87,9.5+,2
88,bathrooms: 16,2
89,11.5+,2
90,bathrooms: 14,2
91,27 baths,2
92,11 ba,2
93,0.75 baths,2
94,4.25 baths,2
95,44 baths,2
96,3.2 baths,2
97,12.5+,2
98,1.75 ba,2
99,19 baths,2
100,bathrooms: 18,2
101,7.5 baths,2
102,32 baths,2
103,40 baths,2
104,11.5 baths,1
105,2.8 baths,1
106,13 ba,1
107,39 baths,1
108,42 baths,1
109,5.5 ba,1
110,16 ba,1
111,43 baths,1
112,10.5 baths,1
113,1-0 / 1-0 / 1,1
114,2-1 / 2-1 / 1-1 / 1-1,1
115,60 baths,1
116,1 / 1-0 / 1-0 / 1-0,1
117,6.75 baths,1
118,1-2 baths,1
119,bathrooms: 15,1
120,bathrooms: 27,1
121,29 baths,1
122,bathrooms: 19,1
123,bathrooms: 241,1
124,34 baths,1
125,3.3 baths,1
126,1 / 1 / 1 / 1,1
127,25 baths,1
128,2.25 ba,1
129,3-1 / 2-2,1
130,0.5 baths,1
131,bathrooms: semimod,1
132,4.75 baths,1
133,76 baths,1
134,14.5+,1
135,5.2 baths,1
136,5.25 baths,1
137,21 baths,1
138,1.8 baths,1
139,116 / 116 / 116,1
140,bathrooms: 21,1
141,68 baths,1
