,index,baths
0,2,20452
1,2.0,16576
2,3.0,10869
3,3,10113
4,2.5,8113
5,1,6583
6,1.0,5930
7,4.0,4593
8,0,3811
9,4,3567
10,3.5,3455
11,"1,500",2209
12,1.5,1857
13,"2,000",1795
14,"1,750",1723
15,"3,000",1686
16,5.0,1557
17,"2,250",1442
18,"1,000",1280
19,5,1224
20,"1,250",1208
21,4.5,1016
22,"2,750",965
23,"2,500",894
24,6.0,737
25,"3,500",653
26,6,507
27,7.0,362
28,5.5,314
29,7,303
30,"4,000",290
31,750,237
32,"5,000",230
33,8.0,216
34,8,177
35,6.5,108
36,9.0,104
37,9,75
38,10.0,55
39,10,54
40,11,41
41,7.5,32
42,11.0,30
43,0.00,23
44,12.0,21
45,0.0,18
46,13.0,16
47,12,14
48,14,12
49,8.5,12
50,16,11
51,18,11
52,13,6
53,16.0,6
54,15,6
55,24,4
56,14.0,4
57,9.5,4
58,15.0,4
59,23.0,3
60,17,3
61,10.5,3
62,22.0,2
63,30,2
64,24.0,2
65,12.5,2
66,27,2
67,20,2
68,21,2
69,20.0,2
70,22,2
71,26,2
72,18.0,2
73,40,2
74,35,1
75,41.0,1
76,55.0,1
77,32,1
78,34.0,1
79,64.0,1
80,29,1
81,30.0,1
82,17.0,1
83,23,1
84,44.0,1
