,index,beds
0,3 beds,53459
1,4 beds,35418
2,2 beds,26362
3,baths,15282
4,3 bd,12877
5,5 beds,11271
6,4 bd,8265
7,2 bd,5243
8,6 beds,3810
9,5 bd,2633
10,7 beds,1100
11,1 bd,1081
12,-- bd,1013
13,8 beds,759
14,bath,738
15,6 bd,656
16,,451
17,9 beds,347
18,10 beds,176
19,7 bd,147
20,12 beds,130
21,-- sqft,97
22,8 bd,97
23,"5,000 sqft",92
24,11 beds,85
25,1 acre,48
26,64 beds,44
27,16 beds,41
28,0.34 acres,40
29,0.28 acres,39
30,9 bd,36
31,0.26 acres,32
32,0.29 acres,31
33,1.03 acres,30
34,13 beds,30
35,0.27 acres,29
36,"10,001 sqft",29
37,0.3 acres,29
38,14 beds,24
39,"2,874 sqft",24
40,0.5 acres,23
41,0.43 acres,22
42,0.46 acres,22
43,18 beds,22
44,10 bd,21
45,"6,098 sqft",21
46,15 beds,21
47,0.37 acres,20
48,"8,712 sqft",20
49,12 bd,20
50,"10,018 sqft",20
51,0.32 acres,19
52,0.39 acres,19
53,"7,405 sqft",19
54,0.35 acres,19
55,0.25 acres,18
56,0.33 acres,18
57,0.41 acres,17
58,0.31 acres,17
59,0.36 acres,16
60,0.47 acres,16
61,0.52 acres,16
62,0.4 acres,16
63,24 beds,16
64,"5,009 sqft",15
65,"6,969 sqft",15
66,0.55 acres,15
67,0.53 acres,15
68,"7,840 sqft",14
69,"3,998 sqft",14
70,"5,662 sqft",14
71,10 acres,13
72,1.08 acres,13
73,"5,501 sqft",13
74,0.45 acres,13
75,"7,200 sqft",13
76,0.59 acres,13
77,"7,501 sqft",13
78,"6,250 sqft",13
79,0.44 acres,12
80,2.5 acres,12
81,0.58 acres,12
82,0.48 acres,12
83,0.54 acres,12
84,0.72 acres,12
85,2 acres,11
86,0.6 acres,11
87,"5,227 sqft",11
88,20 beds,11
89,1.2 acres,11
90,"6,751 sqft",11
91,0.57 acres,10
92,0.69 acres,10
93,0.67 acres,10
94,1.24 acres,10
95,"6,272 sqft",10
96,0.7 acres,10
97,0.38 acres,10
98,0.63 acres,10
99,1.5 acres,9
100,11 bd,9
101,"5,998 sqft",9
102,"8,999 sqft",9
103,"4,356 sqft",9
104,5 acres,9
105,0.51 acres,9
106,0.73 acres,9
107,1.01 acres,9
108,"4,791 sqft",9
109,0.78 acres,9
110,"6,534 sqft",9
111,"5,148 sqft",9
112,"5,248 sqft",9
113,0.8 acres,9
114,"9,517 sqft",8
115,"10,454 sqft",8
116,"7,100 sqft",8
117,0.42 acres,8
118,0.62 acres,8
119,0.85 acres,8
120,"7,000 sqft",8
121,0.66 acres,8
122,1.04 acres,8
123,1.52 acres,8
124,"9,147 sqft",8
125,1.11 acres,8
126,"3,001 sqft",7
127,0.77 acres,7
128,1.27 acres,7
129,"8,276 sqft",7
130,"2,500 sqft",7
131,0.79 acres,7
132,0.92 acres,7
133,32 beds,7
134,17 beds,7
135,"7,492 sqft",7
136,0.64 acres,7
137,1.43 acres,7
138,0.71 acres,7
139,1.1 acres,7
140,0.94 acres,7
141,"3,484 sqft",6
142,1.55 acres,6
143,28 beds,6
144,1.02 acres,6
145,"7,143 sqft",6
146,1.07 acres,6
147,"7,148 sqft",6
148,16 bd,6
149,"2,178 sqft",6
150,"3,049 sqft",6
151,0.49 acres,6
152,0.96 acres,6
153,1.14 acres,6
154,0.88 acres,6
155,1.33 acres,6
156,"6,599 sqft",6
157,3 acres,5
158,1.45 acres,5
159,1.13 acres,5
160,26 beds,5
161,"10,201 sqft",5
162,"4,748 sqft",5
163,0.86 acres,5
164,1.6 acres,5
165,"3,920 sqft",5
166,0.76 acres,5
167,"4,878 sqft",5
168,0.65 acres,5
169,0.81 acres,5
170,"7,440 sqft",5
171,0.9 acres,5
172,"7,535 sqft",5
173,"7,801 sqft",5
174,0.89 acres,5
175,"2,613 sqft",5
176,"6,141 sqft",5
177,1.75 acres,5
178,0.68 acres,5
179,1.12 acres,5
180,"6,899 sqft",5
181,"4,996 sqft",5
182,"6,551 sqft",5
183,2.17 acres,5
184,"10,497 sqft",5
185,1.16 acres,5
186,24 bd,5
187,"4,499 sqft",5
188,22 beds,5
189,"5,601 sqft",4
190,2.83 acres,4
191,2.07 acres,4
192,"6,873 sqft",4
193,2.24 acres,4
194,1.61 acres,4
195,1.05 acres,4
196,0.74 acres,4
197,1.87 acres,4
198,19 beds,4
199,21 beds,4
200,1.65 acres,4
201,"6,756 sqft",4
202,"4,800 sqft",4
203,0.61 acres,4
204,6 acres,4
205,1.06 acres,4
206,1.92 acres,4
207,1.17 acres,4
208,"9,583 sqft",4
209,"4,965 sqft",4
210,34 beds,4
211,2.1 acres,4
212,"5,401 sqft",4
213,14 bd,4
214,1.29 acres,4
215,"3,497 sqft",4
216,1.25 acres,4
217,1.59 acres,4
218,"8,624 sqft",4
219,"10,798 sqft",4
220,"5,301 sqft",4
221,1.09 acres,4
222,0.99 acres,4
223,"6,298 sqft",4
224,"7,723 sqft",4
225,2.76 acres,4
226,13 bd,4
227,"8,001 sqft",4
228,"6,054 sqft",4
229,"1,742 sqft",4
230,0.56 acres,3
231,"8,698 sqft",3
232,4.67 acres,3
233,"8,398 sqft",3
234,0.87 acres,3
235,1.3 acres,3
236,1.53 acres,3
237,2.55 acres,3
238,1.26 acres,3
239,1.15 acres,3
240,"7,013 sqft",3
241,"5,005 sqft",3
242,"8,145 sqft",3
243,"2,395 sqft",3
244,"9,748 sqft",3
245,"8,015 sqft",3
246,"10,528 sqft",3
247,2.94 acres,3
248,"7,884 sqft",3
249,2.34 acres,3
250,"7,069 sqft",3
251,"6,359 sqft",3
252,"7,309 sqft",3
253,1.8 acres,3
254,"3,580 sqft",3
255,1.63 acres,3
256,"4,199 sqft",3
257,2.97 acres,3
258,23 beds,3
259,4 acres,3
260,4.99 acres,3
261,2.87 acres,3
262,1.21 acres,3
263,1.38 acres,3
264,3.53 acres,3
265,0.97 acres,3
266,0.82 acres,3
267,"9,600 sqft",3
268,"5,458 sqft",3
269,"3,750 sqft",3
270,1.88 acres,3
271,"7,318 sqft",3
272,"6,351 sqft",3
273,2.62 acres,3
274,36 beds,3
275,"5,898 sqft",3
276,1.4 acres,3
277,25 beds,3
278,2.6 acres,3
279,0.91 acres,3
280,"5,323 sqft",3
281,"7,500 sqft",3
282,"4,312 sqft",3
283,"6,577 sqft",3
284,1.81 acres,3
285,0.95 acres,3
286,"4,399 sqft",3
287,"6,621 sqft",3
288,1.32 acres,3
289,3.76 acres,3
290,4.81 acres,3
291,1.49 acres,2
292,3.84 acres,2
293,2.73 acres,2
294,"3,615 sqft",2
295,27 beds,2
296,3.5 acres,2
297,"6,150 sqft",2
298,"7,039 sqft",2
299,1.98 acres,2
300,"8,494 sqft",2
301,2.22 acres,2
302,"4,486 sqft",2
303,"7,749 sqft",2
304,"7,139 sqft",2
305,"10,062 sqft",2
306,"8,141 sqft",2
307,"1,650 sqft",2
308,40 acres,2
309,"8,232 sqft",2
310,2.63 acres,2
311,"8,973 sqft",2
312,6.03 acres,2
313,"5,349 sqft",2
314,"7,187 sqft",2
315,44 beds,2
316,"3,650 sqft",2
317,"6,747 sqft",2
