,fireplace
yes,71212
1,14546
2,2432
not applicable,1993
ceiling fan,1318
gas logs,1272
living room,1153
wood burning,1108
walk-in closets,1042
fireplace,910
1 fireplace,758
extra closets,683
utility connection,672
familyrm,654
storage,650
great room,626
3,565
family room,539
gas,491
location,401
one,378
gas/gas logs,319
no,289
fireplace yn,287
in living room,283
special features,279
0,271
gas log,260
fireplace features,239
wood,235
gas fireplace,228
in den/family room,213
in great room,209
4,184
fireplace family rm,176
den,173
decorative,172
electric,166
gas vented,164
natural gas,164
wet bar,159
air filter,158
redecorated,141
wood burning fp,137
gas starter,136
master bedroom,129
smthr,111
fireplace living rm,109
forced air,107
log woodburning,97
central vacuum,82
in-law quarters,81
fire sprinkler system,79
gas log starter,79
two,75
firepit,75
other room,72
elevator,70
flooring - hardwood,69
# fireplaces - woodburning,68
fireplace-gas,68
fireplace - wood burning,66
5,65
# fireplaces - gas,60
fireplace - gas,55
"gas fuel,location",50
log wood-burning,48
fireplace-wood,48
n/k,47
exterior fireplace,46
2 fireplace,45
non wood burning,45
in bedroom,45
brick,45
attached fireplace doors/screen,39
wood burning frplc,37
free standing,36
masonry,36
6,35
direct vent,35
fireplace insert,35
3+,34
ventless,34
great room fireplace,33
living room fireplace,33
gas burning,33
other (see remarks),32
kitchen,31
fireplaces,31
2 fireplaces,30
gas unvented,28
fireplace master bdr,28
electric logs,27
gas log fireplace,27
woodstove,27
in kitchen/dining room,27
propane,26
smapl,26
flooring - carpet,26
factory built,25
basement,25
wood stove,24
insert,24
hot tub,24
water filter,23
woodburning stove,23
two way fireplace,23
fireplace-living rm,22
crown molding,21
built-ins,21
smlt,21
in rec room,21
rec room,21
family room fireplace,20
gas logs included,20
7,18
# fireplaces - woodstoves,17
outside,17
propane logs convey,17
gas fuel,16
brick fireplace,16
dining room,16
"fire pit,location",16
"decorative,location",16
bonus room,15
wood burning fireplace,15
smcam,15
mantle,15
fireplace-other,15
gas starters,14
extras,14
stone fireplace,13
heat pump,13
frplc-fam rm/den/gr,13
stone,12
hot water/steam,12
see through,12
wood burning w/gas starter,12
bedroom features,11
central furnace,11
3+ fireplace,11
intercom,11
see thru,11
no fireplace,11
fp in living room,10
walk-in closet(s),10
see agent,10
porch,10
patio,10
"wood fuel,location",10
# fireplaces - pellet,10
2+ fireplaces,10
flue,10
4+,10
wood-burning stove,9
three,9
radiators,9
ceiling fan(s),8
basement fireplace,8
heatilator type system,8
electric fireplace,8
flooring - tile,8
recording studio,7
"fire pit,gas fuel,location",7
see through/multi sided,7
2 or more fireplaces,7
includes accessories,7
# fireplaces - artificial,7
woodburning,7
dehumidifier,7
basement - finished,7
forced warm air,6
master bedroom - sitting area,6
wood burning stove,6
ceiling fans,6
pantry,6
raised hearth,6
bath,6
3 fireplaces,6
freestnd fireplace,6
family/recreation room fireplace,6
fireplace(s),6
"gas fuel,gas starter,location",5
number,5
wood fuel,5
dining area,5
8,5
cathedral/vaulted ceiling,5
window treatments,5
paved drive,5
security system,5
balcony access,5
dining,5
masonry fireplace,5
free standing wood stove,5
shop,4
fireplace-bedroom,4
master,4
multi-sided fireplace,4
master bedroom fireplace,4
living,4
zoned,4
bed room fireplace,4
pellet,4
free-standing,4
in family room,4
cathedral ceiling,4
walk-in closet,4
three or more,4
central air,4
pellet stove,4
decorative only,4
wall mounted,4
cable tv,4
multi-zone,4
fp in family room,4
two way,4
entry porch,4
fireplace - other,3
misc #2,3
living/dining room combo,3
gas ventless,3
recirculator,3
whole house fan,3
fire pit,3
cable tv available,3
2 sided fire place,3
central heat,3
2 sided fireplace,3
stove,3
in den,3
freestanding,3
gas starter fireplace,3
humidifier,3
4+ fireplaces,3
free standing frplc,3
vaulted ceiling,3
10,3
outdoor,3
baseboard,3
blinds,3
tile fireplace,3
high speed internet available,3
other-see remarks,3
formal,3
in living area,3
fenced yard,3
pre-fab,3
carpeted floors,3
9,3
metal,3
four or more,3
attached screens,3
in-unit laundry,3
remarks,2
whirlpool tub,2
rear porch,2
kitchen - gas cooking,2
sprinkler syst-yrd,2
patio/porch,2
private entry,2
in den/great room,2
with gas logs,2
"see through,location",2
wood stove insert,2
circle drive,2
two-way,2
"gas fuel,wood fuel,location",2
fireplace - electric,2
11,2
insulated windows,2
rec room fireplace,2
pool in-ground,2
partial fence,2
presently inoperative,2
non-functional,2
decorative fireplace,2
countertop(s) - solid surface,2
gas piped,2
radiant,2
balcony,2
bath features,2
fireplace in family room,2
hoa,2
marble,2
gas burning fireplace,2
outdoors,2
skylight(s),2
electric baseboard,2
formal dining room,2
# fireplaces - freestanding,2
vented gas,2
fireplace type,2
fp in master br,2
attached doors,2
flooring - laminate,2
floor furnace,2
single fireplace,1
propane stove,1
countertop(s) - quartz,1
double sink,1
gas log(s),1
recreation room,1
"two way,gas fuel,gas starter,location",1
wood or sim. wood floors,1
loft,1
"decorative,gas fuel,location",1
prefabricated,1
coal,1
flooring - slate,1
den/library fireplace,1
pool heated,1
in-law suite,1
location (living room),1
"free standing,location",1
lp gas,1
deck,1
"1,134",1
3 bedrooms,1
kitchen fireplace,1
"gas fuel,wood fuel",1
in-law apt,1
study,1
other,1
chair rail,1
main,1
marble fireplace,1
other - see remarks,1
int shutters,1
in study,1
in master bedroom,1
"decorative,fire pit,location",1
blower,1
insert unit,1
"fire pit,two way,location",1
master bedroom - dressing area,1
basement - partially finished,1
fireplace- wood,1
playroom,1
"two way,gas fuel,location",1
separate dining,1
refrigerator,1
oven/range,1
deck/patio,1
non-functional fireplace,1
2+ baths,1
countertop(s) - granite,1
g-sealed combustion fireplace/woodstove,1
heating system: yes(s),1
2 story,1
guest house,1
wall furnace,1
wall,1
circulator hot water,1
1000+ sq. ft.,1
fireplace in master bedroom,1
deck/porch/patio,1
range/oven,1
dishwasher,1
3/more bedrooms,1
2/more baths,1
auto sprinkler,1
w/d hookups,1
"gas fuel,gas starter",1
heatilater,1
secure community,1
gas-burning,1
master suite,1
patio/outdoors,1
"electric,location",1
vented gas fireplace,1
glass/enclosed screen,1
heat-o-later,1
central,1
dry bar,1
garages,1
keeping room,1
portable/ventless,1
two sided,1
tub shower,1
"fire pit,see through,location",1
island,1
gas hot air/furnace,1
two+,1
dining room fireplace,1
bedroom downstairs,1
prefab,1
"electric,gas fuel,location",1
none,1
heatilator,1
screened porch access,1
"decorative,gas fuel",1
fireplace equipment,1
12,1
window treatment,1
unit features,1
underground util,1
storage lockers,1
"fire pit,see through,two way,gas fuel,location",1
fireplace- gas,1
hearth room fireplace,1
"fire pit,free standing,electric,location",1
