,index,sqft
0,"1,200 sqft",839
1,"1,000 sqft",654
2,"1,100 sqft",573
3,"1,800 sqft",563
4,"1,500 sqft",547
5,--,535
6,"2,000 sqft",523
7,"1,400 sqft",517
8,"1,600 sqft",455
9,800 sqft,454
10,"1,300 sqft",410
11,900 sqft,409
12,"1,440 sqft",378
13,"2,400 sqft",375
14,960 sqft,362
15,"2,200 sqft",359
16,"3,000 sqft",343
17,"2,100 sqft",326
18,"1,152 sqft",311
19,"1,120 sqft",307
20,"1,700 sqft",301
21,"1,344 sqft",298
22,"1,250 sqft",292
23,750 sqft,288
24,"2,500 sqft",286
25,-- sqft,285
26,850 sqft,282
27,"1,056 sqft",265
28,"1,080 sqft",261
29,"1,320 sqft",260
30,700 sqft,259
31,950 sqft,254
32,"1,248 sqft",254
33,"1,050 sqft",254
34,"1,350 sqft",245
35,"1,900 sqft",241
36,"2,300 sqft",239
37,"1,296 sqft",236
38,"1,260 sqft",236
39,"1,650 sqft",231
40,720 sqft,223
41,"1,040 sqft",218
42,"1,450 sqft",216
43,"1,680 sqft",213
44,"1,008 sqft",211
45,840 sqft,208
46,"1,280 sqft",206
47,"1,140 sqft",202
48,"2,600 sqft",200
49,"2,700 sqft",196
50,"1,170 sqft",194
51,864 sqft,193
52,"1,150 sqft",193
53,"4,000 sqft",185
54,"1,620 sqft",184
55,"1,224 sqft",183
56,"2,800 sqft",182
57,"1,750 sqft",179
58,"1,920 sqft",178
59,"1,560 sqft",176
60,"1,512 sqft",175
61,"1,230 sqft",175
62,"1,092 sqft",168
63,"1,520 sqft",166
64,"1,176 sqft",163
65,"3,200 sqft",162
66,"1,216 sqft",162
67,980 sqft,161
68,912 sqft,158
69,768 sqft,155
70,"1,850 sqft",154
71,"1,550 sqft",154
72,"1,568 sqft",152
73,"1,232 sqft",152
74,"1,020 sqft",151
75,"1,220 sqft",150
76,"1,728 sqft",150
77,"1,408 sqft",149
78,"1,368 sqft",149
79,"2,250 sqft",149
80,"1,360 sqft",148
81,600 sqft,147
82,"1,188 sqft",147
83,"1,456 sqft",146
84,"1,880 sqft",146
85,936 sqft,145
86,"1,536 sqft",144
87,"3,600 sqft",142
88,"3,300 sqft",142
89,"1,404 sqft",141
90,"1,470 sqft",141
91,"1,540 sqft",141
92,990 sqft,140
93,"1,180 sqft",139
94,"1,760 sqft",139
95,"2,040 sqft",138
96,"1,480 sqft",138
97,"2,240 sqft",136
98,"1,740 sqft",135
99,"1,110 sqft",135
100,"1,380 sqft",135
101,920 sqft,134
102,"2,160 sqft",132
103,"1,840 sqft",132
104,"1,144 sqft",131
105,"1,824 sqft",131
106,"1,950 sqft",130
107,"1,240 sqft",130
108,"1,104 sqft",130
109,"1,632 sqft",129
110,"1,736 sqft",128
111,"1,508 sqft",127
112,"1,640 sqft",126
113,"1,116 sqft",126
114,"1,036 sqft",125
115,"3,100 sqft",125
116,650 sqft,124
117,"1,430 sqft",123
118,"1,710 sqft",122
119,672 sqft,122
120,"2,080 sqft",122
121,"2,150 sqft",121
122,"1,064 sqft",121
123,"1,392 sqft",120
124,"1,236 sqft",118
125,"1,820 sqft",118
126,988 sqft,117
127,"1,024 sqft",116
128,"2,900 sqft",116
129,"2,280 sqft",115
130,"3,500 sqft",115
131,"2,050 sqft",114
132,"1,596 sqft",114
133,"1,160 sqft",114
134,"1,720 sqft",114
135,"1,060 sqft",113
136,"1,272 sqft",112
137,"1,584 sqft",112
138,"1,332 sqft",112
139,"1,370 sqft",112
140,"1,488 sqft",111
141,"1,290 sqft",111
142,"1,266 sqft",111
143,"1,580 sqft",110
144,"1,504 sqft",110
145,"1,458 sqft",109
146,924 sqft,109
147,"1,288 sqft",109
148,"1,312 sqft",109
149,"5,000 sqft",108
150,"1,776 sqft",108
151,"1,184 sqft",107
152,780 sqft,107
153,500 sqft,107
154,"1,460 sqft",107
155,"1,530 sqft",106
156,"1,420 sqft",106
157,"1,624 sqft",106
158,"1,828 sqft",106
159,"2,016 sqft",106
160,"1,510 sqft",106
161,"1,128 sqft",106
162,"2,350 sqft",106
163,816 sqft,105
164,"2,340 sqft",104
165,"1,890 sqft",104
166,"1,330 sqft",104
167,"1,088 sqft",104
168,"1,960 sqft",103
169,975 sqft,103
170,"1,316 sqft",103
171,"1,792 sqft",103
172,870 sqft,103
173,"1,340 sqft",102
174,"1,376 sqft",102
175,"total interior livable area: 1,200 sqft",102
176,"1,782 sqft",102
177,"1,048 sqft",101
178,"1,672 sqft",101
179,"1,032 sqft",101
180,984 sqft,101
181,"1,025 sqft",101
182,"1,780 sqft",101
183,"2,450 sqft",100
184,784 sqft,100
185,"2,120 sqft",99
186,"1,254 sqft",99
187,"1,930 sqft",99
188,"1,210 sqft",99
189,"1,352 sqft",99
190,"1,860 sqft",99
191,"1,664 sqft",98
192,"1,190 sqft",98
193,"1,070 sqft",98
194,"1,325 sqft",98
195,880 sqft,98
196,"1,590 sqft",97
197,925 sqft,97
198,896 sqft,97
199,"1,856 sqft",97
200,"1,372 sqft",97
201,"1,848 sqft",97
202,"1,652 sqft",97
203,"1,698 sqft",96
204,"1,212 sqft",96
205,"1,196 sqft",96
206,"2,184 sqft",95
207,"1,410 sqft",95
208,"1,275 sqft",95
209,"1,428 sqft",95
210,"1,416 sqft",95
211,"1,326 sqft",95
212,"2,256 sqft",94
213,"1,464 sqft",94
214,"1,872 sqft",94
215,"1,012 sqft",94
216,"1,772 sqft",94
217,"3,400 sqft",93
218,972 sqft,93
219,"1,218 sqft",93
220,"1,980 sqft",92
221,"1,870 sqft",92
222,"1,030 sqft",92
223,"1,660 sqft",92
224,"1,490 sqft",92
225,"1,668 sqft",92
226,"1,130 sqft",92
227,"1,630 sqft",91
228,"1,944 sqft",91
229,"1,472 sqft",91
230,"1,836 sqft",91
231,940 sqft,91
232,"1,704 sqft",91
233,"1,670 sqft",90
234,"1,474 sqft",90
235,"1,256 sqft",90
236,"1,164 sqft",89
237,"1,310 sqft",89
238,"1,932 sqft",89
239,"2,320 sqft",89
240,"1,808 sqft",89
241,"1,566 sqft",89
242,"1,452 sqft",88
243,"1,356 sqft",88
244,"2,260 sqft",88
245,"1,524 sqft",88
246,"1,244 sqft",88
247,"2,112 sqft",88
248,"2,128 sqft",87
249,"1,648 sqft",87
250,"1,364 sqft",87
251,930 sqft,87
252,550 sqft,87
253,"1,206 sqft",87
254,"1,518 sqft",87
255,"1,270 sqft",87
256,792 sqft,87
257,"1,638 sqft",86
258,"1,308 sqft",86
259,884 sqft,86
260,760 sqft,86
261,"1,548 sqft",86
262,"1,604 sqft",86
263,"1,125 sqft",86
264,"1,386 sqft",86
265,"1,134 sqft",86
266,"1,716 sqft",86
267,"4,200 sqft",86
268,"1,496 sqft",86
269,"1,830 sqft",86
270,"1,602 sqft",86
271,"1,156 sqft",85
272,"1,696 sqft",85
273,"1,446 sqft",85
274,910 sqft,85
275,"1,570 sqft",85
276,"2,088 sqft",85
277,"1,862 sqft",84
278,"2,130 sqft",84
279,"1,328 sqft",84
280,825 sqft,84
281,"1,168 sqft",84
282,"1,694 sqft",84
283,"1,424 sqft",84
284,"1,768 sqft",83
285,"1,764 sqft",83
286,"1,442 sqft",83
287,"1,476 sqft",83
288,"1,390 sqft",83
289,"1,010 sqft",83
290,"1,492 sqft",83
291,"1,544 sqft",83
292,"1,904 sqft",83
293,"2,407 sqft",83
294,"2,220 sqft",83
295,"2,550 sqft",83
296,"1,682 sqft",83
297,"1,075 sqft",82
298,"1,026 sqft",82
299,"1,610 sqft",82
300,"1,892 sqft",82
301,"1,908 sqft",82
302,"1,528 sqft",82
303,"2,025 sqft",82
304,"1,090 sqft",82
305,"1,274 sqft",81
306,"1,940 sqft",80
307,"total interior livable area: 1,000 sqft",80
308,"2,124 sqft",80
309,"1,714 sqft",80
310,"2,650 sqft",80
311,968 sqft,80
312,"1,703 sqft",79
313,"1,564 sqft",79
314,"1,284 sqft",79
315,"1,148 sqft",79
316,"1,302 sqft",79
317,"1,804 sqft",79
318,"1,422 sqft",79
319,945 sqft,79
320,"1,425 sqft",79
321,"1,014 sqft",79
322,"1,616 sqft",79
323,"1,608 sqft",79
324,"1,816 sqft",79
325,"1,770 sqft",79
326,"1,562 sqft",79
327,"1,276 sqft",79
328,"1,155 sqft",79
329,"1,264 sqft",78
330,"1,675 sqft",78
331,"1,575 sqft",78
332,"2,030 sqft",78
333,"1,876 sqft",78
334,660 sqft,78
335,"1,725 sqft",78
336,"1,952 sqft",78
337,"2,044 sqft",78
338,"2,156 sqft",78
339,"2,310 sqft",77
340,"1,674 sqft",77
341,"2,060 sqft",77
342,"1,812 sqft",77
343,"1,685 sqft",77
344,"3,800 sqft",77
345,"2,323 sqft",77
346,875 sqft,77
347,860 sqft,77
348,"1,016 sqft",77
349,"1,612 sqft",77
350,"1,806 sqft",77
351,"1,755 sqft",76
352,"1,062 sqft",76
353,"1,554 sqft",76
354,"1,384 sqft",76
355,992 sqft,76
356,952 sqft,76
357,"1,432 sqft",76
358,"1,444 sqft",76
359,"1,034 sqft",76
360,"1,482 sqft",76
361,"1,314 sqft",76
362,"2,048 sqft",76
363,"2,052 sqft",75
364,"1,418 sqft",75
365,"1,732 sqft",75
366,"1,336 sqft",75
367,"1,175 sqft",75
368,"1,644 sqft",75
369,"1,225 sqft",75
370,"1,912 sqft",75
371,"1,798 sqft",75
372,"2,032 sqft",75
373,"1,485 sqft",75
374,"1,744 sqft",75
375,"1,515 sqft",75
376,890 sqft,74
377,"2,110 sqft",74
378,"2,520 sqft",74
379,"1,378 sqft",74
380,"1,774 sqft",74
381,"1,435 sqft",74
382,"1,712 sqft",74
383,"1,436 sqft",74
384,"2,024 sqft",74
385,"1,068 sqft",73
386,874 sqft,73
387,"1,627 sqft",73
388,"1,258 sqft",73
389,"1,910 sqft",73
390,"1,748 sqft",73
391,"1,825 sqft",73
392,"1,552 sqft",73
393,"1,625 sqft",73
394,888 sqft,73
395,"1,588 sqft",72
396,"2,020 sqft",72
397,"2,070 sqft",72
398,"1,542 sqft",72
399,"1,598 sqft",72
400,"1,268 sqft",72
401,"2,180 sqft",72
402,"2,850 sqft",72
403,"2,004 sqft",72
404,"1,122 sqft",72
405,"4,500 sqft",72
406,"2,640 sqft",72
407,"1,208 sqft",72
408,"1,605 sqft",72
409,"2,496 sqft",72
410,"1,448 sqft",72
411,"1,775 sqft",72
412,"2,090 sqft",72
413,"1,984 sqft",71
414,"1,222 sqft",71
415,"1,690 sqft",71
416,"1,246 sqft",71
417,"1,786 sqft",71
418,"1,572 sqft",71
419,"1,702 sqft",71
420,"1,321 sqft",71
421,"1,925 sqft",71
422,"2,360 sqft",71
423,"2,880 sqft",70
424,"1,756 sqft",70
425,"1,818 sqft",70
426,"1,810 sqft",70
427,"1,398 sqft",70
428,"1,882 sqft",70
429,"1,868 sqft",70
430,"2,170 sqft",70
431,"1,072 sqft",70
432,"1,730 sqft",70
433,"1,514 sqft",70
434,"2,096 sqft",70
435,"2,368 sqft",70
436,"1,348 sqft",70
437,"1,204 sqft",70
438,"1,516 sqft",70
439,"1,498 sqft",70
440,"total interior livable area: 1,800 sqft",70
441,"1,688 sqft",70
442,"1,852 sqft",70
443,"2,168 sqft",70
444,"1,114 sqft",70
445,"1,898 sqft",69
446,"2,028 sqft",69
447,"1,306 sqft",69
448,"1,054 sqft",69
449,"1,402 sqft",69
450,"1,788 sqft",69
451,"1,506 sqft",69
452,"1,318 sqft",69
453,756 sqft,69
454,"2,560 sqft",69
455,"1,525 sqft",69
456,"1,918 sqft",69
457,"1,592 sqft",69
458,"1,948 sqft",69
459,812 sqft,69
460,"1,576 sqft",69
461,"1,539 sqft",69
462,"1,654 sqft",69
463,"1,976 sqft",69
464,"1,406 sqft",69
465,"2,208 sqft",68
466,"1,365 sqft",68
467,"1,044 sqft",68
468,"2,372 sqft",68
469,"2,420 sqft",68
470,976 sqft,68
471,"1,096 sqft",68
472,"2,225 sqft",68
473,"1,145 sqft",68
474,"1,724 sqft",68
475,"2,076 sqft",68
476,"1,346 sqft",68
477,"2,376 sqft",68
478,"2,704 sqft",68
479,"1,526 sqft",68
480,"1,242 sqft",68
481,"1,505 sqft",68
482,"1,636 sqft",68
483,"1,896 sqft",68
484,"1,278 sqft",68
485,"2,352 sqft",68
486,"1,844 sqft",68
487,"1,334 sqft",67
488,"1,388 sqft",67
489,"1,778 sqft",67
490,"2,268 sqft",67
491,"2,148 sqft",67
492,"1,052 sqft",67
493,"1,916 sqft",67
494,"1,642 sqft",67
495,"1,838 sqft",67
496,"2,460 sqft",67
497,"1,412 sqft",67
498,"1,228 sqft",67
499,"1,854 sqft",67
500,832 sqft,66
501,"1,198 sqft",66
502,"1,487 sqft",66
503,"1,502 sqft",66
504,"1,118 sqft",66
505,"1,234 sqft",66
506,"2,540 sqft",66
507,"2,304 sqft",66
508,"1,846 sqft",66
509,"2,056 sqft",66
510,"1,834 sqft",66
511,"1,484 sqft",66
512,"1,015 sqft",66
513,"1,995 sqft",66
514,"1,884 sqft",65
515,"1,252 sqft",65
516,"total interior livable area: 1,500 sqft",65
517,"1,265 sqft",65
518,"1,735 sqft",65
519,"1,058 sqft",65
520,"1,394 sqft",65
521,"1,647 sqft",65
522,"1,992 sqft",65
523,"total interior livable area: 1,600 sqft",65
524,"1,468 sqft",65
525,"1,582 sqft",65
526,"1,438 sqft",65
527,"1,532 sqft",65
528,total interior livable area: 960 sqft,65
529,"1,362 sqft",65
530,"2,142 sqft",65
531,"1,826 sqft",65
532,"1,178 sqft",65
533,"1,754 sqft",65
534,"2,064 sqft",65
535,"1,138 sqft",65
536,"1,304 sqft",65
537,"1,214 sqft",65
538,"1,708 sqft",65
539,"1,655 sqft",65
540,"2,106 sqft",65
541,"1,692 sqft",65
542,"2,005 sqft",64
543,"1,235 sqft",64
544,"2,480 sqft",64
545,"2,592 sqft",64
546,"1,990 sqft",64
547,"1,707 sqft",64
548,906 sqft,64
549,"1,396 sqft",64
550,"1,864 sqft",64
551,"1,478 sqft",64
552,"1,292 sqft",64
553,"1,215 sqft",64
554,962 sqft,64
555,775 sqft,64
556,"1,295 sqft",64
557,"1,574 sqft",64
558,"total interior livable area: 1,400 sqft",64
559,"1,622 sqft",64
560,"1,676 sqft",64
561,"2,176 sqft",64
562,"1,968 sqft",64
563,"1,106 sqft",64
564,"2,190 sqft",63
565,"1,701 sqft",63
566,740 sqft,63
567,"1,822 sqft",63
568,"2,140 sqft",63
569,"total interior livable area: 1,344 sqft",63
570,"2,306 sqft",63
571,"2,042 sqft",63
572,"1,084 sqft",63
573,"1,706 sqft",63
574,"2,152 sqft",63
575,"1,619 sqft",63
576,"1,934 sqft",63
577,"2,084 sqft",63
578,"2,196 sqft",63
579,"1,936 sqft",63
580,"1,901 sqft",63
581,"1,322 sqft",63
582,"1,192 sqft",63
583,"1,461 sqft",63
584,"1,385 sqft",63
585,"1,455 sqft",63
586,"1,358 sqft",63
587,"1,162 sqft",63
588,"1,734 sqft",63
589,"2,248 sqft",63
590,"1,857 sqft",63
591,"1,646 sqft",63
592,"1,611 sqft",62
593,"1,546 sqft",62
594,"1,662 sqft",62
595,"1,519 sqft",62
596,"1,891 sqft",62
597,"1,956 sqft",62
598,"1,255 sqft",62
599,970 sqft,62
600,"1,142 sqft",62
601,"total interior livable area: 1,440 sqft",62
602,"1,273 sqft",62
603,"1,867 sqft",62
604,"1,197 sqft",62
605,"2,036 sqft",62
606,"2,236 sqft",62
607,680 sqft,62
608,"1,045 sqft",62
609,"1,556 sqft",62
610,"1,174 sqft",61
611,"1,038 sqft",61
612,"1,366 sqft",61
613,"1,975 sqft",61
614,"1,599 sqft",61
615,"1,146 sqft",61
616,"2,022 sqft",61
617,"1,158 sqft",61
618,"2,018 sqft",61
619,"2,002 sqft",61
620,"1,705 sqft",61
621,"1,323 sqft",61
622,"1,626 sqft",61
623,"total interior livable area: 1,100 sqft",61
624,"2,448 sqft",61
625,"1,298 sqft",61
626,"1,686 sqft",61
627,"2,034 sqft",61
628,"2,206 sqft",61
629,"1,102 sqft",61
630,"1,845 sqft",61
631,"2,094 sqft",61
632,"1,618 sqft",60
633,"2,082 sqft",60
634,"2,093 sqft",60
635,728 sqft,60
636,"1,656 sqft",60
637,"1,066 sqft",60
638,"2,165 sqft",60
639,"1,875 sqft",60
640,"1,108 sqft",60
641,"1,628 sqft",60
642,"2,720 sqft",60
643,"1,727 sqft",60
644,"1,535 sqft",60
645,"1,738 sqft",60
646,"1,262 sqft",60
647,"2,440 sqft",60
648,"2,241 sqft",60
649,"1,503 sqft",60
650,"1,389 sqft",60
651,"2,492 sqft",60
652,640 sqft,60
653,"1,645 sqft",60
654,"1,742 sqft",60
655,"1,771 sqft",60
656,"1,965 sqft",59
657,"1,028 sqft",59
658,"2,210 sqft",59
659,"2,265 sqft",59
660,"2,008 sqft",59
661,"2,026 sqft",59
662,"2,175 sqft",59
663,"1,673 sqft",59
664,"1,954 sqft",59
665,"1,726 sqft",59
666,total interior livable area: 900 sqft,59
667,"1,785 sqft",59
668,"1,666 sqft",59
669,770 sqft,59
670,"2,539 sqft",59
671,"1,869 sqft",59
672,"1,136 sqft",59
673,"2,404 sqft",59
674,"1,709 sqft",59
675,"1,970 sqft",59
676,"1,345 sqft",59
677,"1,475 sqft",59
678,"2,010 sqft",59
679,"1,238 sqft",59
680,"2,601 sqft",59
681,928 sqft,58
682,"1,185 sqft",58
683,810 sqft,58
684,"1,777 sqft",58
685,"2,495 sqft",58
686,"1,601 sqft",58
687,"1,465 sqft",58
688,"2,136 sqft",58
689,"2,006 sqft",58
690,"1,094 sqft",58
691,"1,338 sqft",58
692,"1,305 sqft",58
693,"2,380 sqft",58
694,"1,375 sqft",58
695,"2,398 sqft",58
696,"1,194 sqft",58
697,"3,120 sqft",58
698,"2,232 sqft",58
699,"2,192 sqft",58
700,"1,313 sqft",58
701,"1,914 sqft",58
702,"1,752 sqft",58
703,"1,878 sqft",57
704,"2,952 sqft",57
705,954 sqft,57
706,"1,888 sqft",57
707,"2,430 sqft",57
708,"1,076 sqft",57
709,"1,479 sqft",57
710,"1,434 sqft",57
711,"1,746 sqft",57
712,"1,065 sqft",57
713,"1,801 sqft",57
714,"2,045 sqft",57
715,"1,233 sqft",57
716,1 sqft,57
717,"2,295 sqft",57
718,"1,226 sqft",57
719,"1,132 sqft",57
720,"1,301 sqft",57
721,"3,900 sqft",57
722,"2,216 sqft",57
723,"1,681 sqft",57
724,"1,715 sqft",57
725,"1,437 sqft",57
726,"1,886 sqft",57
727,"1,333 sqft",57
728,"1,309 sqft",57
729,"1,231 sqft",57
730,"1,443 sqft",57
731,"1,501 sqft",57
732,"1,762 sqft",56
733,"1,972 sqft",56
734,690 sqft,56
735,790 sqft,56
736,"2,001 sqft",56
737,"2,288 sqft",56
738,"2,226 sqft",56
739,"1,928 sqft",56
740,"2,144 sqft",56
741,"1,790 sqft",56
742,"2,114 sqft",56
743,"1,459 sqft",56
744,"2,092 sqft",56
745,"1,451 sqft",56
746,"1,495 sqft",56
747,"1,595 sqft",56
748,"1,747 sqft",56
749,"1,579 sqft",56
750,"1,324 sqft",56
751,"1,105 sqft",56
752,"total interior livable area: 2,000 sqft",56
753,"1,922 sqft",56
754,"1,885 sqft",56
755,"1,678 sqft",56
756,"1,005 sqft",56
757,"3,050 sqft",56
758,"1,294 sqft",55
759,"1,988 sqft",55
760,"2,580 sqft",55
761,"1,603 sqft",55
762,"2,104 sqft",55
763,"1,205 sqft",55
764,"1,586 sqft",55
765,"2,109 sqft",55
766,"2,122 sqft",55
767,"1,758 sqft",55
768,"2,272 sqft",55
769,932 sqft,55
770,"2,246 sqft",55
771,"total interior livable area: 1,120 sqft",55
772,"1,906 sqft",55
773,"1,426 sqft",55
774,"1,035 sqft",55
775,"1,802 sqft",55
776,"2,086 sqft",55
777,"1,989 sqft",55
778,"1,737 sqft",55
779,"1,462 sqft",55
780,"2,132 sqft",55
781,"2,444 sqft",55
782,"2,012 sqft",55
783,"1,779 sqft",55
784,"1,557 sqft",55
785,"1,842 sqft",55
786,"1,419 sqft",55
787,"2,074 sqft",55
788,"2,530 sqft",54
789,"1,195 sqft",54
790,"1,074 sqft",54
791,"2,366 sqft",54
792,"2,212 sqft",54
793,"1,395 sqft",54
794,"2,840 sqft",54
795,948 sqft,54
796,"1,794 sqft",54
797,"1,935 sqft",54
798,"1,729 sqft",54
799,820 sqft,54
800,"1,924 sqft",54
801,"2,312 sqft",54
802,"1,843 sqft",54
803,"1,489 sqft",54
804,"2,033 sqft",54
805,"1,441 sqft",54
806,"2,760 sqft",54
807,"1,938 sqft",54
808,"1,537 sqft",54
809,"2,242 sqft",54
810,"2,408 sqft",54
811,"2,750 sqft",54
812,"total interior livable area: 1,300 sqft",54
813,"1,217 sqft",54
814,"1,866 sqft",54
815,"1,545 sqft",54
816,"1,179 sqft",54
817,"1,671 sqft",54
818,"1,521 sqft",54
819,"2,660 sqft",54
820,"1,889 sqft",54
821,"1,753 sqft",54
822,"1,491 sqft",54
823,"2,548 sqft",54
824,"1,966 sqft",53
825,"1,591 sqft",53
826,"1,053 sqft",53
827,"1,858 sqft",53
828,"1,417 sqft",53
829,"1,679 sqft",53
830,"2,171 sqft",53
831,"1,245 sqft",53
832,"1,996 sqft",53
833,"2,680 sqft",53
834,"6,000 sqft",53
835,"2,392 sqft",53
836,"1,166 sqft",53
837,"1,327 sqft",53
838,"1,335 sqft",53
839,"1,269 sqft",53
840,828 sqft,53
