,index,sqft
0,0,11854
1,"1,200",357
2,"1,500",299
3,960,285
4,800,257
5,"1,100",245
6,900,234
7,"1,800",232
8,"1,000",221
9,"1,400",220
10,"1,600",219
11,"1,440",204
12,"1,300",203
13,"2,400",196
14,"2,000",194
15,850,178
16,"1,700",174
17,"1,250",170
18,"1,120",162
19,950,162
20,"2,100",157
21,"1,260",152
22,"1,152",151
23,720,149
24,"1,344",147
25,"1,450",147
26,"1,350",146
27,864,143
28,"1,050",142
29,"1,900",141
30,"2,500",140
31,"1,650",140
32,840,139
33,"1,248",139
34,700,139
35,"2,200",137
36,"3,000",133
37,"1,080",133
38,750,129
39,1200,128
40,"1,320",127
41,"1,056",127
42,1800,123
43,"1,920",122
44,"1,280",122
45,"1,680",121
46,870,120
47,"1,140",120
48,980,119
49,1400,117
50,912,117
51,"1,150",117
52,"1,560",116
53,990,113
54,"1,750",112
55,"1,040",112
56,"2,300",109
57,"1,296",108
58,"1,550",107
59,"3,100",105
60,"1,170",103
61,1500,103
62,"2,600",102
63,"1,220",101
64,"1,880",101
65,"1,520",100
66,936,100
67,"1,230",100
68,600,99
69,2000,99
70,"1,512",99
71,988,99
72,"1,008",99
73,768,98
74,"1,020",98
75,"1,360",98
76,952,97
77,1344,97
78,1600,96
79,920,95
80,"1,104",94
81,"2,800",94
82,780,92
83,1440,92
84,940,92
85,"1,620",92
86,"1,030",92
87,"1,456",92
88,"1,224",91
89,"1,490",91
90,"3,200",91
91,"1,404",91
92,"1,110",90
93,1680,90
94,"1,720",90
95,"1,180",90
96,"1,036",90
97,924,89
98,1152,88
99,930,87
100,"1,216",87
101,"1,640",87
102,"1,060",87
103,"1,474",87
104,"1,580",87
105,"1,188",87
106,"2,700",86
107,896,85
108,"1,240",85
109,"1,950",85
110,"1,602",85
111,"1,460",85
112,"1,740",84
113,"1,760",84
114,860,84
115,"1,330",84
116,"1,370",83
117,"1,568",82
118,"1,368",82
119,880,82
120,"1,290",81
121,672,80
122,"1,380",80
123,"2,150",80
124,1248,80
125,"1,064",80
126,"1,862",80
127,"1,530",79
128,"1,470",79
129,"1,218",78
130,"2,040",78
131,"1,536",78
132,"1,130",78
133,"1,420",77
134,"1,332",77
135,"1,850",77
136,"1,070",76
137,"1,698",76
138,2200,76
139,"1,824",76
140,890,76
141,"1,048",76
142,"1,340",76
143,"1,696",76
144,"1,092",75
145,650,75
146,"1,716",75
147,"1,990",75
148,"1,116",75
149,"1,704",75
150,"1,176",75
151,"1,024",75
152,"1,430",75
153,"1,480",74
154,984,74
155,"1,408",74
156,784,74
157,"1,312",74
158,"1,730",74
159,"1,310",74
160,"1,266",74
161,"1,930",73
162,910,73
163,"1,416",73
164,1296,73
165,"1,510",73
166,"1,190",73
167,"2,320",73
168,"1,160",72
169,"2,160",72
170,1000,72
171,1700,72
172,"1,672",72
173,"1,540",72
174,2100,72
175,"1,776",72
176,975,72
177,"2,080",71
178,"3,300",71
179,"1,688",71
180,816,71
181,1300,71
182,"1,010",71
183,"1,256",71
184,"2,050",71
185,"1,316",71
186,"1,630",70
187,"1,590",70
188,"1,860",70
189,1320,70
190,"1,232",70
191,2400,70
192,825,69
193,"1,782",69
194,"2,450",69
195,"1,870",69
196,992,68
197,972,68
198,"1,775",68
199,"1,664",68
200,"2,025",68
201,"1,728",68
202,"1,727",68
203,"1,960",68
204,"1,736",68
205,"1,820",68
206,"1,840",67
207,"1,690",67
208,"1,682",67
209,"4,000",67
210,"1,392",67
211,"1,428",67
212,"1,675",67
213,"1,128",66
214,"1,410",66
215,"2,016",66
216,"1,528",66
217,"1,025",66
218,"2,240",66
219,1008,65
220,"1,882",65
221,"2,124",65
222,"1,624",65
223,760,65
224,884,65
225,"2,250",65
226,"1,694",64
227,"1,780",63
228,"2,323",63
229,1056,63
230,"1,308",63
231,"1,217",63
232,640,63
233,1512,63
234,680,63
235,"1,134",63
236,"1,703",63
237,"1,596",63
238,"1,222",62
239,"1,508",62
240,1080,62
241,"2,070",62
242,"1,442",62
243,790,62
244,"1,548",62
245,"1,546",62
246,"1,288",62
247,"1,770",62
248,970,62
249,"1,068",62
250,"1,710",62
251,1560,62
252,"1,810",62
253,"1,544",62
254,"1,210",62
255,"1,052",62
256,1650,61
257,"1,088",61
258,"1,792",61
259,"1,501",61
260,"1,178",61
261,925,61
262,"1,488",61
263,"1,502",61
264,"1,376",61
265,"1,496",60
266,"1,504",60
267,"1,164",60
268,"2,088",60
269,"1,660",60
270,832,60
271,"1,492",60
272,820,60
273,1100,59
274,1456,59
275,"1,975",59
276,1120,59
277,1568,59
278,"1,980",59
279,810,58
280,"1,668",58
281,"1,632",58
282,"1,608",58
283,660,58
284,"3,400",58
285,"1,518",58
286,"1,212",58
287,"1,196",58
288,"1,872",58
289,792,58
290,"1,848",58
291,"1,908",58
292,"1,772",57
293,"1,386",57
294,"2,260",57
295,"1,875",57
296,"1,940",57
297,"1,592",57
298,"1,409",57
299,"1,145",57
300,"1,642",57
301,1280,57
302,945,57
303,1828,56
304,"1,252",56
305,875,56
306,"2,180",56
307,1750,56
308,"1,372",56
309,"1,476",56
310,"2,256",56
311,"1,156",56
312,"1,274",56
313,"1,667",56
314,"1,148",56
315,1092,56
316,728,56
317,"1,365",56
318,"2,900",56
319,"2,030",56
320,1728,55
321,740,55
322,"1,155",55
323,"1,714",55
324,1620,55
325,965,55
326,"1,485",55
327,756,55
328,"2,340",55
329,"1,435",55
330,"2,539",55
331,"1,532",54
332,"1,625",54
333,"1,779",54
334,"1,214",54
335,"1,075",54
336,"2,120",54
337,"1,884",54
338,"1,798",54
339,"1,255",54
340,"1,934",54
341,"1,246",54
342,"1,729",54
343,"1,352",54
344,"1,576",54
345,"2,246",53
346,"1,904",53
347,"1,702",53
348,"1,647",53
349,"2,052",53
