,index,stories
0,1.0,67454
1,2.0,55283
2,1,31405
3,2,23676
4,3.0,11275
5,0.0,7241
6,3,6033
7,0,4273
8,9.0,2918
9,2.00,2777
10,4.0,2137
11,1.00,1202
12,4,950
13,6.0,718
14,1.50,650
15,5.0,616
16,1.5,566
17,3.00,517
18,9,468
19,7.0,312
20,6,293
21,8.0,255
22,2.0000,229
23,5,201
24,1.0000,116
25,2.5,97
26,12.0,95
27,2.50,92
28,7,92
29,16.0,84
30,8,80
31,11.0,67
32,17.0,64
33,15.0,61
34,20.0,60
35,12,56
36,10.0,55
37,14.0,52
38,13.0,51
39,1.5000,48
40,11,46
41,20,45
42,4.00,45
43,18.0,44
44,14,42
45,21.0,40
46,19.0,37
47,16,34
48,21,33
49,19,32
50,13,30
51,24.0,30
52,25.0,28
53,23.0,27
54,1.75,27
55,15,26
56,22.0,24
57,23,24
58,27.0,23
59,17,23
60,1.000,23
61,30.0,22
62,40.0,22
63,33,21
64,10,20
65,3.0000,19
66,33.0,19
67,25,18
68,43.0,18
69,26.0,17
70,31,16
71,1.7000,15
72,18,15
73,41,15
74,36.0,14
75,22,14
76,28.0,14
77,24,13
78,29,13
79,29.0,13
80,32.0,12
81,46.0,12
82,30,12
83,47.0,12
84,31.0,12
85,28,12
86,39,11
87,60.0,10
88,40,10
89,42,10
90,38,10
91,35.0,10
92,46,9
93,32,9
94,38.0,9
95,44,9
96,54.0,8
97,45.0,8
98,66.0,8
99,42.0,8
100,26,8
101,48.0,8
102,43,7
103,2.5000,7
104,57.0,7
105,45,7
106,77.0,7
107,27,7
108,90.0,6
109,70.0,6
110,47,6
111,34.0,6
112,34,6
113,36,6
114,51.0,6
115,70,6
116,37,5
117,63.0,5
118,37.0,5
119,49.0,5
120,55.0,5
121,52.0,5
122,80.0,5
123,68.0,4
124,62.0,4
125,91,4
126,56.0,3
127,2.000,3
128,35,3
129,60,3
130,58,3
131,48,3
132,1.7,3
133,57,3
134,41.0,3
135,39.0,2
136,6.00,2
137,75,2
138,30.00,2
139,15.00,2
140,56,2
141,1.500,2
142,3.5,2
143,52,2
144,64,2
145,50,2
146,78.0,2
147,5.00,2
148,2.20,1
149,66,1
150,7.00,1
151,50.0,1
152,11.00,1
153,1.3000,1
154,80,1
155,96.0,1
156,1002.0,1
157,3.000,1
158,95.0,1
159,1120.0,1
160,95,1
161,77,1
162,82,1
163,4.0000,1
164,1.2,1
165,78,1
166,1.70,1
167,16.00,1
168,58.0,1
169,64.0,1
170,1.30,1
171,65.0,1
