,index,num_series
0,(undisclosed address),391
1,101 cresta.,5
2,19939 23rd ave. ct. e.,5
3,25700 n. 162nd dr.,5
4,2732 n. 154th dr.,4
5,0,3
6,212152,2
7,3348400805 3348400805,2
8,56th,2
9,17783 n. 114th dr.,2
10,3348400984 3348400984,2
11,9,1
12,0 o'connor ,1
13,3348400977 3348400977,1
14,3348400780 3348400780,1
15,300 150th #502 ,1
16,18,1
17,"175, 14 802nd",1
18,"110, 38 68ave",1
19,7818 89th,1
20,"411, 5 # 5",1
21,2 # 1,1
22,24,1
23,"2, 1 # 1",1
24,lindell&richmar,1
25,947 cr2859 ,1
26,1150 102 #506 ,1
27,"109, 09 15ave #n106",1
28,147 147,1
29,"211, 212 160",1
30,1 1 ,1
31,17 17,1
32,18181 31 #1609 ,1
33,1175 101st #2 ,1
34,"211, 212 160 ",1
35,102 1150 #403 ,1
36,3348400984 ,1
37,3348400976,1
38,4136 prjt394 #32,1
39,3348400780 ,1
40,3610 21 #407 ,1
41,106 ,1
42,1750 115 #208 ,1
43,038706,1
44,907 907,1
45,d45000000901905,1
46,0 o'connor,1
47,sw106pl,1
48,1 ,1
49,31,1
50,411 # 5,1
51,231 174 #417 ,1
52,0081 ,1
53,fm1732,1
54,11732 216 ,1
55,3348400805 ,1
56,300 150th #302 ,1
57,"139, 50 35ave",1
58,9764 # us22 # us22,1
59,37 37,1
60,"0000, 0000 0 #0000",1
61,810 7th #202 ,1
62,79 ,1
63,26,1
64,15,1
65,300 150th #306 ,1
66,"282204, 9022 282204, 9022",1
67,3348400976 3348400976,1
68,3348400800 ,1
69,320 80 #7 ,1
70,319 9th,1
71,3348400977 ,1
72,12300 # us301 # us301,1
73,6143 fm78 ,1
74,3348400976 ,1
75,0 ,1
76,27,1
77,300 150th #307 ,1
78,1133 102 #306 ,1
79,8769 # us41 # us41,1
80,17,1
81,551 19th ,1
82,038706 ,1
83,"18, 3 # 3",1
84,8356 35th ave.n. ,1
85,"139, 50 35ave 6c #6c",1
86,300 150th #305 ,1
87,4001 12th # 24,1
88,3348400805,1
89,"123, 12 12",1
90,3410 15th ,1
91,"0619, 181 27 #, 29",1
92,3713,1
93,19553,1
94,2401 91 ,1
95,"139, 50 35ave 7f #7f",1
96,"99, 31 66rd #4d",1
97,300 150th #203 ,1
98,8,1
99,"4, 1 # 1",1
100,"151, 33 22ave",1
