,index,num_series
0,32137,2141
1,33131,1563
2,34747,1488
3,78245,1390
4,34759,1333
5,33132,1328
6,33137,1308
7,78253,1282
8,78254,1238
9,33130,1170
10,34746,1150
11,33160,1108
12,32164,1107
13,33133,1068
14,33308,1027
15,33178,1007
16,33141,988
17,77845,963
18,33140,957
19,33304,955
20,33319,928
21,77008,900
22,33301,890
23,33955,888
24,77007,873
25,33981,855
26,33154,850
27,32218,841
28,32259,833
29,33139,813
30,77024,805
31,33647,771
32,32256,768
33,33974,757
34,33180,739
35,33947,720
36,33311,700
37,77004,692
38,33179,688
39,78260,686
40,28278,679
41,34135,670
42,33156,667
43,77055,664
44,77057,663
45,77009,662
46,32210,655
47,77018,648
48,33312,640
49,33019,625
50,33129,624
51,37209,622
52,78209,618
53,28078,617
54,33946,606
55,33313,603
56,33953,603
57,33954,603
58,79928,600
59,28205,595
60,78255,595
61,33972,594
62,33134,590
63,34758,587
64,34744,584
65,75219,575
66,33316,574
67,33138,574
68,77019,572
69,33321,569
70,79938,569
71,33149,569
72,77056,569
73,27703,567
74,75230,557
75,78261,556
76,77080,552
77,20002,550
78,33952,549
79,33157,549
80,77327,546
81,33322,536
82,33983,536
83,78258,529
84,33950,528
85,78738,525
86,33917,520
87,33143,520
88,44102,519
89,34481,517
90,33706,515
91,75206,515
92,76107,515
93,33971,512
94,77096,511
95,78244,503
96,34223,499
97,33982,492
98,76179,491
99,77044,490
100,75071,487
101,11201,487
102,34224,486
103,77077,485
104,34473,484
105,34472,482
106,20011,481
107,77407,479
108,32413,474
109,33708,472
110,33707,465
111,28215,462
112,37205,459
113,77079,459
114,37042,458
115,32208,456
116,11235,453
117,28277,451
118,76131,448
119,60611,446
120,33181,444
121,77025,440
122,33305,437
123,77084,437
124,77043,436
125,32824,434
126,75204,434
127,37221,433
128,32205,432
129,78737,432
130,28115,432
131,32209,430
132,77088,430
133,11234,430
134,34476,429
135,78045,428
136,37013,428
137,78252,427
138,77083,426
139,78734,425
140,77006,425
141,75208,424
142,37215,423
143,33914,423
144,33186,422
145,32207,420
146,33018,420
147,75209,419
148,33629,419
149,76126,414
150,32404,414
151,32836,413
152,77027,412
153,28269,411
154,77026,404
155,32827,403
156,28227,402
157,60014,401
158,32909,398
159,34741,397
160,32222,396
161,33176,396
162,33611,395
163,33610,394
164,89521,394
165,32244,394
166,32250,393
167,37405,393
168,92618,393
169,32832,392
170,37043,392
171,32226,392
172,80204,392
173,32408,391
174,78210,391
175,77021,391
176,33715,391
177,32224,387
178,33604,387
179,28226,387
180,10021,387
181,19146,386
182,44113,385
183,33615,384
184,33703,384
185,33324,383
186,37363,383
187,20019,382
188,20001,380
189,77091,378
190,34482,378
191,10023,378
192,28210,378
193,37211,376
194,33015,374
195,20009,374
196,77005,371
